Name,Reviews
Điện thoại iPhone Xr 64GB,"[{'content': 'Máy rất mạnh phù hợp cho mình cày game!\nMua máy đầu tiên tại 126 Lạch Tray ngày 02-11', 'num_star': 4, 'date': '05/11/2018'}, {'content': 'Sản phẩm rất tốt, pin trâu , chip khỏe , camera thì đẹp , về phần màn hình thì mình thấy nó bình thường chứ không quá xấu !', 'num_star': 5, 'date': '10/12/2018'}, {'content': 'Máy rất mạnh cam chụp ảnh đẹp, cầm rất thích tay về phần màn hình chỉ HĐ+ nhưng cũng đủ dùng đối với mình rồi ', 'num_star': 5, 'date': '03/12/2018'}, {'content': 'Máy Đẹp , Cứng Cáp - Cầm Rất Chắc Tay , Xứng Đáng Với Tầm Giá Tiền - Mặc dù chất lượng màn hình thua kém samsung nhưng được apple hỗ trợ lâu dài ! - Theo tôi , Mọi người nên mua ,', 'num_star': 5, 'date': '03/12/2018'}, {'content': 'Chán cái màn hình quá. Không xứng với giá tiền. Tuy nhiên bù lại cấu hình tốt, cầm chắc tay', 'num_star': 2, 'date': '03/12/2018'}, {'content': 'Viền hơi dày nhưng không sao. Chỉ không hiểu nổi 22trieu cho cái màn hình Hd. Còn thua con máy tàu 4trieu. Khong hieu Apple làm cái gì luôn. Tính lên đời nhưng nhìn màn hình. Nghỉ luôn.', 'num_star': 2, 'date': '05/11/2018'}, {'content': 'Viền 2 bên đã dày vậy rồi mà còn màng hình hd+ nữa, màng hình còn thua con ip7 plus của mình nữa định năng cấp mà nhìn thấy vậy chán quá.', 'num_star': 3, 'date': '04/11/2018'}, {'content': 'Viền 2 bên dày cả hơn cả iphone 7 đang dùng nữa, dày hơn cả Mi8SE nữa. Tính đổi máy mà nhìn nó thô và chán.', 'num_star': 3, 'date': '03/11/2018'}]"
Điện thoại Huawei Mate 20 Pro,"[{'content': 'Tuyệt vời. Camera Ip 8 plus không bằng đâu. Pin phải nói cực kỳ trâu bò. Đừng ai nói hãng Trung Quốc. Dùng rồi mới biết hàng cao cấp TQ cực đã.', 'num_star': 5, 'date': '14/12/2018'}, {'content': 'Chụp hình siêu đẹp, camera góc rộng tuyệt vời, quay video xóa phông và giữ màu chủ thể rất hay ho. Pin trâu mà sạc chưa đến 1h full luôn. Màn hình 2k đẹp miễn chê.', 'num_star': 5, 'date': '26/11/2018'}, {'content': 'Đây là ảnh 20 pro. Phía trên là ảnh của ip8. Mate 20 pro là sự lựa chọn thông minh ', 'num_star': 5, 'date': '26/11/2018'}, {'content': 'Camera vô đối. Đây là ảnh ip8 plus thua xa 20 pr0. Quá tuyệt vời. Ip ko là đối thủ. Đã làm 1 căp. ', 'num_star': 5, 'date': '26/11/2018'}, {'content': 'Máy tốt mọi tính năng đều tuyệt vời chỉ mắc cái dính lỗi màn hình ám xanh. Mình đã bị và đã đổi 2 máy rồi đang sài cái thứ 3 mà vẫn bị. Không biết đổi đến khi nào mới ko bị nữa chứ chạy đi chạy về để đổi cũng mệt lắm... ', 'num_star': 5, 'date': '26/11/2018'}, {'content': 'Máy quá tốt so với quy chuẩn. Cần test thêm nhiều hơn nữa camera. Tóm lại quá đỉnh. 5 sao.', 'num_star': 5, 'date': '11/11/2018'}, {'content': 'Sạc nhanh tuyệt vời,màn hình 2k+ màu sắc chân thực,bộ quà tặng thì đã phải biết,có sạc ko dây bằng ngang với Quickcharge 3.0 của Qualcom,còn Adapter theo máy thì 40W cái này ai xài IPhone XS Max có mơ cũng ko thể có dc ! Hiệu năng thì đã có rất nhiều số sánh rồi,Face 3D + cảm biến vân tay trong màn hình nữa rất tiện lợi', 'num_star': 5, 'date': '10/11/2018'}, {'content': 'Mới lấy máy hôm nay, bước đầu cảm nhận: đẹp, mở khóa 3d ngon, vân tay nhạy, lúc màn tắt để ngón tay gần đến nơi quanh khu vực vân tay nó tự sáng khá tiện, màn hình không thấy bị ám màu. Để test ký đủ thứ xem sao 😁', 'num_star': 5, 'date': '04/11/2018'}, {'content': 'cấu hình ,chất lượng sản phẩm và phần cứng cũng rất xứng với tầm giá . sản phẩm này tôi rất thích', 'num_star': 5, 'date': '10/12/2018'}, {'content': 'Thiết kế nam tính đầy mạnh mẽ, camera chụp ảnh sắc nét, zoom nhiều không bị vỡ ảnh, chất luợng hoàn thiện tốt. ', 'num_star': 5, 'date': '03/12/2018'}, {'content': 'Máy quá tốt với tầm giá này, hàng cao cấp chất, chụp hình đẹp, pin lâu, màn hình chuẩn', 'num_star': 5, 'date': '26/11/2018'}, {'content': 'Máy ngon cấu hình mạnh pin trâu chơi game tốt max cấu hình camera chây màn ngon  tôt', 'num_star': 5, 'date': '11/11/2018'}]"
